student_id,city,hw1,hw2,hw3,hw4,final_exam
1,4,64,89,100,86,100
2,2,100,100,66,89,76
3,5,46,100,89,60,81
4,3,45,84,5,95,81
5,5,100,31,85,36,53
6,5,77,73,81,8,74
7,5,100,74,100,61,52
8,5,100,98,50,55,92
9,5,69,63,100,58,100
10,5,68,19,63,72,70
11,5,100,100,54,77,76
12,3,31,18,84,86,100
13,1,66,100,30,69,54
14,1,83,63,100,100,45
15,3,75,36,89,90,56
16,5,47,100,65,97,81
17,1,68,21,47,100,56
18,5,66,66,58,54,100
19,5,76,60,72,94,70
20,5,100,76,100,93,99
21,5,68,20,63,100,86
22,3,100,83,96,87,100
23,5,100,62,82,72,91
24,2,59,32,62,25,60
25,5,100,65,92,100,100
26,3,89,87,81,76,100
27,3,100,100,92,38,52
28,5,37,100,60,89,87
29,1,85,70,76,69,100
30,5,72,95,1,79,100
31,5,67,99,100,58,69
32,5,39,100,42,100,100
33,5,28,92,100,100,88
34,3,51,75,79,100,96
35,5,79,91,35,100,79
36,5,100,95,100,67,100
37,4,100,100,10,100,83
38,5,54,53,46,90,78
39,2,100,56,58,73,76
40,1,83,42,90,60,75
